1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 32496.51),(2 74853.17),(3 136533.33),(4 219167.73),(5 306887.4),(6 424071.72),(7 548679.06),(8 683616.2),(9 828956.44),(10 972513.7),(11 1142472.4),(12 1324390.3),(13 1494591),(14 1655423.6),(15 1846516.6),(16 2019773.6),(17 2217901.8),(18 2397715),(19 2567698.8),(20 2757187.8),(21 2944526.3),(22 3130832),(23 3377492),(24 3578617.3),(25 3807705.3),(26 4085826),(27 4371912),(28 4675198.5),(29 5004187.5),(30 5317866.5),(31 5632292),(32 5970396.5),(33 6304557.5),(34 6658504),(35 7002218.5),(36 7397127.5),(37 7810924),(38 8206451.5),(39 8655361),(40 9113248),(41 9615857),(42 10158197),(43 10751244),(44 11328035),(45 11970220),(46 12611957),(47 13257777),(48 13912805),(49 14591531),(50 15262489),(51 16044379),(52 16793766),(53 17655872),(54 18505456),(55 19342352),(56 20170654),(57 21047328),(58 21965614),(59 22882304),(60 23851130),(61 24771088),(62 25749040),(63 26715200),(64 27659928),(65 28665190),(66 29542264),(67 30360832),(68 31213462),(69 31947450),(70 32789424),(71 33657344),(72 34422720),(73 35151376),(74 35856492),(75 36593252),(76 37379984),(77 38056524),(78 38738516),(79 39286804),
(1 31042.402),(2 98872.38),(3 205482.92),(4 349975.8),(5 517754.7),(6 722720.75),(7 953662.4),(8 1203121.4),(9 1466019.3),(10 1742329.3),(11 2036895.6),(12 2336880.8),(13 2640992.8),(14 2934976),(15 3232139.5),(16 3528504.8),(17 3807363.3),(18 4096172),(19 4341200),(20 4562160.5),(21 4782261.5),(22 4985264.5),(23 5195211),(24 5385803.5),(25 5587527.5),(26 5795526.5),(27 6013696.5),(28 6231637),(29 6449927),(30 6670043),(31 6888935),(32 7104161),(33 7248601.5),(34 7421151),(35 7538546.5),(36 7698321),(37 7850632),(38 8037057),(39 8152515),(40 8321659),(41 8523415),(42 8708381),(43 8956170),(44 9165361),(45 9414138),(46 9655870),(47 9910390),(48 10137077),(49 10437227),(50 10707190),(51 11102258),(52 11447639),(53 11815043),(54 12246277),(55 12773437),(56 13288448),(57 13902346),(58 14635549),(59 15314541),(60 16116435),(61 16979532),(62 17992084),(63 18935150),(64 19915734),(65 21038524),(66 22081978),(67 23115784),(68 24144278),(69 25052264),(70 26036376),(71 27098458),(72 27941478),(73 28739044),(74 29588762),(75 30341078),(76 31105164),(77 31783692),(78 32401734),(79 32915760),
(1 34931.01),(2 130957),(3 291509.2),(4 508227.1),(5 772575.94),(6 1074009.6),(7 1418990.9),(8 1802199.5),(9 2200461.5),(10 2617346.3),(11 3060534.8),(12 3516258),(13 3975022.3),(14 4434833),(15 4913667.5),(16 5401739),(17 5858588.5),(18 6333873.5),(19 6799965.5),(20 7253572),(21 7721673.5),(22 8183386.5),(23 8634394),(24 9070541),(25 9501156),(26 9914259),(27 10372649),(28 10837039),(29 11311107),(30 11806464),(31 12306609),(32 12797837),(33 13226144),(34 13677797),(35 14071825),(36 14467901),(37 14829339),(38 15170137),(39 15390132),(40 15588363),(41 15726851),(42 15756059),(43 15801063),(44 15745891),(45 15647577),(46 15468435),(47 15238795),(48 14935583),(49 14591421),(50 14198435),(51 13780512),(52 13335585),(53 12863899),(54 12434031),(55 12048928),(56 11696633),(57 11396805),(58 11161341),(59 10956572),(60 10843661),(61 10798218),(62 10839268),(63 10917307),(64 11001000),(65 11132881),(66 11277264),(67 11432363),(68 11616344),(69 11758020),(70 11924969),(71 12087937),(72 12217733),(73 12327816),(74 12454299),(75 12515552),(76 12571357),(77 12588080),(78 12586331),(79 12574327),
(1 43172.484),(2 163268.89),(3 359742.06),(4 623521.1),(5 944289.25),(6 1317442.3),(7 1748060.5),(8 2213369.3),(9 2695221),(10 3206692),(11 3731851.5),(12 4276514),(13 4842347.5),(14 5407684.5),(15 5974924.5),(16 6579116.5),(17 7153154),(18 7780749.5),(19 8389427),(20 8992711),(21 9651938),(22 10309740),(23 10974960),(24 11680516),(25 12384117),(26 13039044),(27 13758219),(28 14457556),(29 15148784),(30 15827708),(31 16497931),(32 17129056),(33 17675400),(34 18200164),(35 18567016),(36 18908946),(37 19159448),(38 19316232),(39 19291932),(40 19216398),(41 19034496),(42 18710288),(43 18367442),(44 17891068),(45 17409564),(46 16862038),(47 16285998),(48 15666738),(49 15106240),(50 14559447),(51 14038625),(52 13540026),(53 13041083),(54 12621611),(55 12281852),(56 11947892),(57 11700934),(58 11510592),(59 11332071),(60 11218365),(61 11154908),(62 11178700),(63 11202615),(64 11247949),(65 11347151),(66 11431452),(67 11519797),(68 11606140),(69 11698681),(70 11769645),(71 11833938),(72 11858580),(73 11881868),(74 11961731),(75 11997589),(76 12057134),(77 12113284),(78 12136580),(79 12131231),
(1 48298.297),(2 184354.38),(3 402704.2),(4 692735.94),(5 1038829.06),(6 1436106.1),(7 1887349.1),(8 2377515.8),(9 2880863),(10 3414227.8),(11 3960672.8),(12 4530305.5),(13 5129009.5),(14 5744404.5),(15 6361844.5),(16 7022083.5),(17 7659624.5),(18 8358994),(19 9045303),(20 9735225),(21 10476183),(22 11217063),(23 11954940),(24 12744663),(25 13497750),(26 14157612),(27 14767475),(28 15281783),(29 15679110),(30 15993530),(31 16216774),(32 16316284),(33 16302351),(34 16218118),(35 15970109),(36 15669414),(37 15290409),(38 14877652),(39 14367220),(40 13860787),(41 13319360),(42 12749396),(43 12247548),(44 11739062),(45 11293418),(46 10872577),(47 10524356),(48 10229647),(49 10060673),(50 9958752),(51 9953184),(52 10012851),(53 10133432),(54 10323760),(55 10560081),(56 10806009),(57 11098745),(58 11426477),(59 11746841),(60 12098956),(61 12433012),(62 12805868),(63 13122863),(64 13430881),(65 13742304),(66 13978202),(67 14164740),(68 14280986),(69 14361271),(70 14407968),(71 14449932),(72 14409284),(73 14350301),(74 14290278),(75 14189542),(76 14126970),(77 14035180),(78 13910884),(79 13773737),
(1 58811.367),(2 225076.53),(3 490664.8),(4 838491.3),(5 1258737.6),(6 1734344.3),(7 2273074.8),(8 2843993.3),(9 3440232),(10 4059527.3),(11 4687445),(12 5323955),(13 5978010.5),(14 6636905),(15 7286937.5),(16 7940510.5),(17 8560715),(18 9157877),(19 9710022),(20 10184210),(21 10631571),(22 10991476),(23 11251646),(24 11432106),(25 11515393),(26 11475282),(27 11358166),(28 11147586),(29 10854376),(30 10493888),(31 10070266),(32 9591726),(33 9065056),(34 8523802),(35 7963601.5),(36 7444803),(37 6954389),(38 6488227),(39 6026606.5),(40 5608391),(41 5234871),(42 4919959.5),(43 4700212),(44 4548373),(45 4503347),(46 4550357.5),(47 4706521.5),(48 4936446.5),(49 5274676),(50 5670493.5),(51 6156536),(52 6684299),(53 7234461),(54 7794550.5),(55 8306272),(56 8739468),(57 9066314),(58 9280665),(59 9384203),(60 9397501),(61 9306758),(62 9136904),(63 8877248),(64 8551751),(65 8192113.5),(66 7804887),(67 7414502.5),(68 7059756),(69 6751449.5),(70 6532152.5),(71 6420890.5),(72 6366300.5),(73 6396578.5),(74 6534289),(75 6730523),(76 7009675),(77 7317193),(78 7638621.5),(79 7971902.5),
(1 52978.793),(2 204239.83),(3 450479.63),(4 777304.9),(5 1175637),(6 1641382.5),(7 2171782.3),(8 2731242.8),(9 3298024.3),(10 3875970.3),(11 4439540.5),(12 5000889),(13 5539899.5),(14 6009968),(15 6426163.5),(16 6808495.5),(17 7094231.5),(18 7330538),(19 7488562),(20 7536127),(21 7526698),(22 7435280),(23 7265578.5),(24 7061514.5),(25 6829535),(26 6580629),(27 6345533.5),(28 6129795),(29 5957163.5),(30 5830347.5),(31 5752112),(32 5709088.5),(33 5701768.5),(34 5750403),(35 5820408),(36 5932304),(37 6050499.5),(38 6162696.5),(39 6235454),(40 6282890.5),(41 6312541.5),(42 6326203.5),(43 6348657),(44 6377703),(45 6455677),(46 6565817),(47 6704625),(48 6851755),(49 7035814),(50 7183226),(51 7324318),(52 7389225),(53 7352455),(54 7232780.5),(55 7032307.5),(56 6727254),(57 6389057),(58 6027825),(59 5680987.5),(60 5380776.5),(61 5135877),(62 4974767),(63 4901112.5),(64 4922677),(65 5043347.5),(66 5244092.5),(67 5500274),(68 5805663.5),(69 6133912.5),(70 6485912),(71 6857058),(72 7169953),(73 7451274),(74 7694185),(75 7837515),(76 7896309),(77 7857396.5),(78 7710873),(79 7503787),
(1 36726.996),(2 147719.7),(3 335831.78),(4 591707.9),(5 910292.56),(6 1289594.6),(7 1724765.5),(8 2184116.3),(9 2635151),(10 3088848.5),(11 3519599.5),(12 3919494.8),(13 4263914),(14 4535131.5),(15 4753971.5),(16 4925895.5),(17 5033140.5),(18 5108797.5),(19 5135622.5),(20 5113311),(21 5059157),(22 4974636.5),(23 4862841),(24 4752319.5),(25 4640280.5),(26 4520608),(27 4426371),(28 4367606),(29 4362373.5),(30 4423797.5),(31 4559394),(32 4749526),(33 4970570.5),(34 5233217),(35 5492055.5),(36 5763516.5),(37 6008871.5),(38 6246328),(39 6470226),(40 6726584.5),(41 6979797.5),(42 7207968),(43 7441275.5),(44 7627922),(45 7786921),(46 7888322),(47 7942897.5),(48 7923512),(49 7873547),(50 7761687.5),(51 7625865.5),(52 7456501),(53 7276469.5),(54 7111127.5),(55 6961741.5),(56 6829715),(57 6738138.5),(58 6700907.5),(59 6702944.5),(60 6741880.5),(61 6776250),(62 6810714.5),(63 6813832),(64 6790633.5),(65 6751721.5),(66 6704000),(67 6669579),(68 6649217.5),(69 6660043.5),(70 6695067.5),(71 6769595),(72 6827974.5),(73 6872020.5),(74 6884181.5),(75 6834127),(76 6744248),(77 6629079),(78 6510783.5),(79 6432145),
(1 75883.555),(2 294753.44),(3 638390.6),(4 1079865.9),(5 1588309.4),(6 2134829.5),(7 2687437.8),(8 3217152.8),(9 3692314),(10 4113598.5),(11 4466394.5),(12 4751996),(13 4973402.5),(14 5129125.5),(15 5246153),(16 5336357.5),(17 5388980),(18 5419325.5),(19 5418247.5),(20 5390830.5),(21 5360665),(22 5312030),(23 5251445.5),(24 5197483.5),(25 5144099.5),(26 5091502.5),(27 5077005),(28 5080936),(29 5115089.5),(30 5172652),(31 5257295),(32 5348015.5),(33 5455245),(34 5607371.5),(35 5800513.5),(36 6064536),(37 6406165.5),(38 6824948.5),(39 7261210.5),(40 7725572),(41 8159390),(42 8513440),(43 8817958),(44 8997355),(45 9080809),(46 9064933),(47 8987670),(48 8849205),(49 8704853),(50 8529089),(51 8353230),(52 8158470.5),(53 7962812),(54 7779334.5),(55 7596928),(56 7415244),(57 7299691.5),(58 7257094.5),(59 7291404),(60 7406418.5),(61 7563103),(62 7735426),(63 7890726),(64 7999425),(65 8052052.5),(66 8034372),(67 7961157.5),(68 7838491),(69 7685780.5),(70 7511608),(71 7328204),(72 7116276.5),(73 6898302.5),(74 6690417),(75 6489027.5),(76 6343004.5),(77 6272847.5),(78 6305844.5),(79 6459233),
(1 90370.25),(2 357176.8),(3 786916.8),(4 1342852.6),(5 1990347.5),(6 2693340),(7 3406988.5),(8 4069005.8),(9 4650360),(10 5142428.5),(11 5523459.5),(12 5797138),(13 5982952),(14 6054612.5),(15 6033489.5),(16 5940383),(17 5786457),(18 5575417.5),(19 5322700),(20 5060899),(21 4828978),(22 4643042),(23 4545154),(24 4556327),(25 4662850),(26 4842155.5),(27 5055858),(28 5257937),(29 5436272.5),(30 5563181.5),(31 5654467.5),(32 5720724.5),(33 5793202),(34 5906920.5),(35 6073032.5),(36 6296150),(37 6538730.5),(38 6767955),(39 6954304),(40 7117176),(41 7200814.5),(42 7179316.5),(43 7107821.5),(44 6961037.5),(45 6795444.5),(46 6613373),(47 6453202),(48 6322876.5),(49 6264379.5),(50 6239832),(51 6266757.5),(52 6319069.5),(53 6397059.5),(54 6488414),(55 6577274.5),(56 6648033),(57 6723699),(58 6795280.5),(59 6861028.5),(60 6908146.5),(61 6912930),(62 6865700.5),(63 6744500.5),(64 6555997.5),(65 6347246),(66 6157564.5),(67 6039879),(68 6024883),(69 6120677.5),(70 6296566),(71 6509512),(72 6703321.5),(73 6860936),(74 6992078.5),(75 7116240),(76 7298175),(77 7524761),(78 7784236.5),(79 8041337),
(1 72614.05),(2 279280),(3 600901.94),(4 1001895.5),(5 1443453.5),(6 1888494.1),(7 2309020.3),(8 2668187.8),(9 2963610.3),(10 3207091.8),(11 3403769.5),(12 3571062.8),(13 3719143.3),(14 3798466.8),(15 3803961.8),(16 3737366),(17 3612206),(18 3451792),(19 3282691.3),(20 3152589.3),(21 3104834.3),(22 3155769.5),(23 3321818),(24 3570690.8),(25 3863779.5),(26 4141530.3),(27 4384278),(28 4571647),(29 4726525.5),(30 4837196),(31 4919834.5),(32 4968563.5),(33 4973467),(34 4928296.5),(35 4823033.5),(36 4668398),(37 4480500.5),(38 4312639),(39 4157714.8),(40 4039510),(41 3951989.3),(42 3859615.5),(43 3777400.5),(44 3696366.5),(45 3643721.8),(46 3636529.3),(47 3702247),(48 3849006.8),(49 4092398),(50 4379912),(51 4705571.5),(52 4982812),(53 5153456.5),(54 5214924),(55 5178819),(56 5049725),(57 4929369.5),(58 4849334.5),(59 4815230.5),(60 4815960.5),(61 4815294),(62 4798540),(63 4771053),(64 4775486),(65 4846419),(66 4989254),(67 5182572),(68 5387424),(69 5549068),(70 5645346),(71 5673170),(72 5632186.5),(73 5585932),(74 5581526),(75 5631535),(76 5738740.5),(77 5888264.5),(78 6052290),(79 6190159),
