1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9941.013),(2 30135.438),(3 60561.707),(4 99276.65),(5 147699.83),(6 199814.25),(7 265543.1),(8 350563.34),(9 466749.34),(10 600441.06),(11 750757.44),(12 897047.75),(13 1055675.5),(14 1221966),(15 1394237.6),(16 1561578.1),(17 1738797.5),(18 1908074.6),(19 2068509.4),(20 2222386.8),(21 2390057.8),(22 2552768),(23 2717675.8),(24 2872065),(25 3017438.8),(26 3163212.8),(27 3295423.8),(28 3426908.8),(29 3554052.8),(30 3687932.3),(31 3815551.3),(32 3946389.3),(33 4061941.3),(34 4161684.3),(35 4256044.5),(36 4351770),(37 4453663.5),(38 4541440.5),(39 4616553.5),(40 4680062.5),(41 4741611.5),(42 4790538.5),(43 4839739),(44 4881351),(45 4934541.5),(46 5013427),(47 5109050),(48 5232587.5),(49 5374043.5),(50 5515676),(51 5680408),(52 5828314),(53 5973281.5),(54 6153056),(55 6319893.5),(56 6494968.5),(57 6684696),(58 6897266.5),(59 7117847.5),(60 7379058.5),(61 7687512),(62 7995629.5),(63 8306051.5),(64 8624163),(65 8947584),(66 9292356),(67 9633936),(68 9986457),(69 10341616),(70 10674561),(71 11001214),(72 11330620),(73 11670891),(74 12001285),(75 12312985),(76 12640995),(77 12954732),(78 13283471),(79 13564040),
(1 11300.447),(2 39425.555),(3 83777.33),(4 137550.17),(5 204505),(6 279081.47),(7 366572.84),(8 467394.16),(9 593490.4),(10 728087.4),(11 876296.8),(12 1020449.6),(13 1172556.6),(14 1326304.8),(15 1492028.4),(16 1652578.3),(17 1816711.3),(18 1978437.6),(19 2140452.8),(20 2299478.8),(21 2456020.8),(22 2615053.8),(23 2778060.8),(24 2929975.3),(25 3078481.5),(26 3229883.8),(27 3374531.3),(28 3527832),(29 3707675.3),(30 3895149.5),(31 4099956),(32 4315777.5),(33 4547819),(34 4760449),(35 4978859),(36 5212132),(37 5444077),(38 5667563),(39 5903871),(40 6134661),(41 6364458),(42 6608093.5),(43 6854737.5),(44 7097316),(45 7368946.5),(46 7655177),(47 7972275),(48 8293584),(49 8631058),(50 8980419),(51 9341901),(52 9706066),(53 10070184),(54 10467914),(55 10847486),(56 11234364),(57 11643910),(58 12059008),(59 12502296),(60 12943560),(61 13420464),(62 13892339),(63 14366227),(64 14862718),(65 15381589),(66 15895008),(67 16424582),(68 16928886),(69 17442662),(70 17940762),(71 18412388),(72 18847436),(73 19266896),(74 19649162),(75 20010540),(76 20382920),(77 20746700),(78 21076326),(79 21392330),
(1 16363.247),(2 59559.844),(3 128870.59),(4 214208.63),(5 319215.75),(6 439033.34),(7 571275.2),(8 716457.8),(9 876260.3),(10 1044488.75),(11 1213906.9),(12 1374633.6),(13 1531075.6),(14 1681288.6),(15 1832418.6),(16 1976922),(17 2120341.8),(18 2275166.3),(19 2416206.3),(20 2549935),(21 2679630),(22 2801887.3),(23 2928744.3),(24 3060208),(25 3184248),(26 3309496),(27 3442130.3),(28 3591825),(29 3769866),(30 3962661),(31 4181088),(32 4419361.5),(33 4682942),(34 4936007.5),(35 5196418.5),(36 5469845),(37 5746367.5),(38 6037974.5),(39 6337848),(40 6647264),(41 6971578.5),(42 7306321.5),(43 7651753.5),(44 7999889.5),(45 8349030.5),(46 8713907),(47 9077324),(48 9450681),(49 9812136),(50 10187437),(51 10567216),(52 10946056),(53 11318803),(54 11717256),(55 12104493),(56 12489957),(57 12866856),(58 13232413),(59 13573717),(60 13886429),(61 14158659),(62 14400772),(63 14643885),(64 14863125),(65 15073819),(66 15274155),(67 15465131),(68 15645429),(69 15800084),(70 15939969),(71 16040269),(72 16116081),(73 16171896),(74 16198899),(75 16210488),(76 16233973),(77 16243968),(78 16269643),(79 16275501),
(1 22155.021),(2 82908.75),(3 184770.78),(4 320304.9),(5 490231.44),(6 692071.7),(7 916517.9),(8 1161976.1),(9 1425576.1),(10 1704363),(11 1994075.4),(12 2285517),(13 2579428),(14 2865499.5),(15 3149532),(16 3427901.3),(17 3701873),(18 3985230.3),(19 4252737),(20 4509745),(21 4753702),(22 4993759.5),(23 5242818),(24 5479455.5),(25 5710560),(26 5936222),(27 6167181),(28 6404368),(29 6662794),(30 6945570.5),(31 7234349.5),(32 7530208),(33 7829086),(34 8128149.5),(35 8434071),(36 8742448),(37 9055104),(38 9362320),(39 9643668),(40 9927319),(41 10212204),(42 10510117),(43 10796742),(44 11086595),(45 11383746),(46 11697730),(47 12016720),(48 12331364),(49 12653425),(50 12984843),(51 13293985),(52 13579804),(53 13863436),(54 14158128),(55 14437285),(56 14712222),(57 14956071),(58 15175378),(59 15370837),(60 15557024),(61 15721890),(62 15857099),(63 15964087),(64 16068405),(65 16158949),(66 16226548),(67 16268256),(68 16280820),(69 16273550),(70 16231927),(71 16149228),(72 16027068),(73 15886478),(74 15714517),(75 15529216),(76 15364139),(77 15162756),(78 14967188),(79 14774018),
(1 19064.084),(2 71022.72),(3 152928.34),(4 260234.55),(5 392469.5),(6 545885.94),(7 717474.25),(8 905302.8),(9 1105836),(10 1311980.1),(11 1521671.6),(12 1721938),(13 1919678.5),(14 2107760.8),(15 2292475),(16 2470839.8),(17 2644517),(18 2819110.3),(19 2979009.3),(20 3129760.3),(21 3275827.3),(22 3419957.8),(23 3567980.3),(24 3703516),(25 3839791.3),(26 3968035.3),(27 4095898.5),(28 4221352),(29 4351615.5),(30 4489836.5),(31 4632760.5),(32 4767600),(33 4906244.5),(34 5043994),(35 5187048),(36 5331153),(37 5472876.5),(38 5617383),(39 5745438),(40 5874966.5),(41 5998871.5),(42 6128260.5),(43 6257518.5),(44 6376027.5),(45 6494717),(46 6612824.5),(47 6731278),(48 6850512.5),(49 6968520.5),(50 7086995.5),(51 7204118),(52 7306263.5),(53 7415921.5),(54 7529972.5),(55 7631003.5),(56 7733550.5),(57 7807480.5),(58 7858031.5),(59 7898289.5),(60 7951633.5),(61 8017094),(62 8061479.5),(63 8106392.5),(64 8153617.5),(65 8195440),(66 8235825.5),(67 8277638),(68 8321419.5),(69 8351128.5),(70 8380823.5),(71 8401039),(72 8413643),(73 8429545),(74 8436478),(75 8445527),(76 8456671),(77 8452852),(78 8455079),(79 8466533),
(1 29599.781),(2 115696.33),(3 253092.95),(4 438884.7),(5 672953.9),(6 941589.6),(7 1237052.8),(8 1550938.6),(9 1872036.3),(10 2201649.3),(11 2525668.8),(12 2829684),(13 3117542.8),(14 3386764),(15 3634132.8),(16 3867885.5),(17 4081345.5),(18 4281174),(19 4455519),(20 4615444),(21 4770970.5),(22 4913401),(23 5055681),(24 5183029),(25 5308073),(26 5434144.5),(27 5563053),(28 5698147),(29 5844298.5),(30 6009429),(31 6181245),(32 6357871),(33 6551852),(34 6743124),(35 6965619),(36 7204459),(37 7459204),(38 7717348),(39 7979445.5),(40 8252717),(41 8528952),(42 8805862),(43 9073693),(44 9319816),(45 9565792),(46 9790901),(47 9995979),(48 10180138),(49 10320931),(50 10428813),(51 10525104),(52 10593246),(53 10652475),(54 10680685),(55 10674315),(56 10630043),(57 10547953),(58 10409363),(59 10244308),(60 10087411),(61 9930354),(62 9735118),(63 9551235),(64 9344023),(65 9145221),(66 8954909),(67 8784207),(68 8625357),(69 8483869),(70 8360990.5),(71 8255143),(72 8174797),(73 8117489),(74 8083783),(75 8073710.5),(76 8078328),(77 8092520),(78 8117781),(79 8141545),
(1 40668.13),(2 158350.53),(3 349372.34),(4 604766.06),(5 920585.75),(6 1281343.9),(7 1676374.8),(8 2084816.6),(9 2502520.8),(10 2923141.5),(11 3341901),(12 3747846.5),(13 4134100.3),(14 4500247),(15 4835733),(16 5147467.5),(17 5438690),(18 5708167.5),(19 5955894),(20 6180407.5),(21 6388140.5),(22 6585001),(23 6765378),(24 6918240),(25 7058016),(26 7181751.5),(27 7281666),(28 7369947.5),(29 7449864.5),(30 7522765.5),(31 7588189.5),(32 7643449),(33 7684418.5),(34 7720294),(35 7766170),(36 7810517),(37 7855931),(38 7906394.5),(39 7965423.5),(40 8026972.5),(41 8099869),(42 8175324.5),(43 8255221.5),(44 8337933),(45 8432393),(46 8527025),(47 8619655),(48 8693415),(49 8756994),(50 8817694),(51 8863506),(52 8883400),(53 8883229),(54 8861079),(55 8818687),(56 8725428),(57 8597249),(58 8417458),(59 8224871.5),(60 8014109),(61 7811989.5),(62 7591930.5),(63 7364133),(64 7131222),(65 6902232.5),(66 6676034),(67 6454810),(68 6244901),(69 6058132.5),(70 5886454),(71 5742815),(72 5621449),(73 5538723.5),(74 5489852.5),(75 5473236.5),(76 5497123),(77 5542007),(78 5620639),(79 5715854),
(1 31378.932),(2 121754.47),(3 266340.2),(4 459988.44),(5 696327.9),(6 960105.06),(7 1240090.6),(8 1524064.1),(9 1808976.8),(10 2091479.8),(11 2366553),(12 2623149.3),(13 2854385.8),(14 3067317.8),(15 3259925.3),(16 3435839.5),(17 3603586.5),(18 3760618.8),(19 3907942.5),(20 4052419.3),(21 4197550.5),(22 4346664.5),(23 4497439.5),(24 4635152.5),(25 4769206.5),(26 4892983.5),(27 5010926.5),(28 5115505.5),(29 5214319.5),(30 5308242),(31 5394328.5),(32 5462338),(33 5521491.5),(34 5575958.5),(35 5625476.5),(36 5657618),(37 5675497),(38 5677732.5),(39 5675007),(40 5653653.5),(41 5620219.5),(42 5576952),(43 5535401.5),(44 5491463),(45 5464077),(46 5454261.5),(47 5445726.5),(48 5437479),(49 5436587.5),(50 5442514),(51 5446791.5),(52 5458266.5),(53 5489043),(54 5528174.5),(55 5574213),(56 5613062),(57 5644066.5),(58 5661458),(59 5684011.5),(60 5716601),(61 5766300.5),(62 5799499.5),(63 5827957.5),(64 5839327.5),(65 5844009.5),(66 5828447),(67 5801238),(68 5765129.5),(69 5726152),(70 5681792.5),(71 5639291),(72 5609243.5),(73 5598795),(74 5596332.5),(75 5618777),(76 5653243.5),(77 5711777),(78 5788491.5),(79 5892476.5),
(1 39584.797),(2 153320.44),(3 335343.34),(4 577306.8),(5 869833.2),(6 1191125.4),(7 1521253),(8 1840134.6),(9 2146282.5),(10 2441305.5),(11 2718500.8),(12 2977901.8),(13 3218814),(14 3433988.3),(15 3630698),(16 3805439.8),(17 3977946.3),(18 4148242.8),(19 4312128),(20 4466905.5),(21 4608532),(22 4744536.5),(23 4880063.5),(24 4991056),(25 5091319.5),(26 5162454.5),(27 5214367),(28 5251268.5),(29 5277173.5),(30 5298459.5),(31 5321169.5),(32 5336009.5),(33 5355927),(34 5366443.5),(35 5377846.5),(36 5384613.5),(37 5389068),(38 5377844),(39 5358037.5),(40 5331051),(41 5287417.5),(42 5227424.5),(43 5162810),(44 5082069),(45 4999002.5),(46 4919154.5),(47 4838917),(48 4752848),(49 4677506.5),(50 4612349),(51 4559792),(52 4514784.5),(53 4486824),(54 4471552),(55 4473077.5),(56 4484371.5),(57 4506992.5),(58 4539524),(59 4585710),(60 4646564),(61 4720454),(62 4789016.5),(63 4846167.5),(64 4899244),(65 4943949),(66 4981902),(67 5013617),(68 5045017.5),(69 5082504.5),(70 5120917.5),(71 5186045),(72 5268219),(73 5388196.5),(74 5545908),(75 5734815),(76 5963287.5),(77 6221850.5),(78 6526333.5),(79 6844935),
(1 39355.625),(2 151085.83),(3 325974.94),(4 551587.75),(5 813275.75),(6 1091634.5),(7 1365058.5),(8 1612882),(9 1830706.5),(10 2016277.4),(11 2171226.5),(12 2298886.3),(13 2397141.5),(14 2472041.3),(15 2532916.3),(16 2585620.3),(17 2643160.8),(18 2710197.5),(19 2790355),(20 2883307),(21 2988933),(22 3109986.3),(23 3237130.5),(24 3364037),(25 3492752.5),(26 3616040.3),(27 3731688.5),(28 3840837.8),(29 3943329),(30 4046453),(31 4148201.8),(32 4242010),(33 4318955.5),(34 4385184),(35 4448643.5),(36 4501014),(37 4548222),(38 4587342),(39 4622118),(40 4655828),(41 4691654),(42 4723328),(43 4758071),(44 4784839),(45 4811855),(46 4833128),(47 4850113),(48 4854878),(49 4857508.5),(50 4857465),(51 4850209),(52 4836678),(53 4817190.5),(54 4795166),(55 4778702),(56 4759695),(57 4751389.5),(58 4744227),(59 4747166),(60 4765426),(61 4800226),(62 4840216),(63 4875440),(64 4909198.5),(65 4946094),(66 4970241),(67 4985308.5),(68 4989862),(69 4985077.5),(70 4961720),(71 4929890),(72 4891305),(73 4858548.5),(74 4834434),(75 4829940.5),(76 4855004.5),(77 4910922),(78 5018292.5),(79 5159023),
(1 40607.23),(2 153822.14),(3 331325.13),(4 554087.44),(5 805223.94),(6 1063745.6),(7 1304005.9),(8 1502005.6),(9 1653825.1),(10 1764762.5),(11 1839621.6),(12 1888414),(13 1915713),(14 1929717.4),(15 1940289.1),(16 1955061.4),(17 1982776.8),(18 2029412.3),(19 2095061.1),(20 2177964.3),(21 2267665),(22 2362825.8),(23 2457268.8),(24 2542207.3),(25 2611973.8),(26 2664306.8),(27 2709446),(28 2751789.8),(29 2803186.8),(30 2866412.3),(31 2938886.5),(32 3007461.5),(33 3063772.3),(34 3108818.8),(35 3151711.3),(36 3186454),(37 3213565.5),(38 3231265.5),(39 3246928),(40 3253776),(41 3264290.3),(42 3278886),(43 3298694.3),(44 3321732),(45 3353156.3),(46 3390008.5),(47 3430494.8),(48 3466713),(49 3503867),(50 3531029.8),(51 3544593),(52 3544003.3),(53 3535510),(54 3517574),(55 3488102),(56 3442188.5),(57 3386480.3),(58 3312832.5),(59 3239229.5),(60 3173668.3),(61 3117652.3),(62 3073471.5),(63 3042301.8),(64 3017885),(65 3000665.5),(66 2987989.3),(67 2980420.8),(68 2970423.5),(69 2957067.8),(70 2936325.8),(71 2915646),(72 2882396.8),(73 2843229.8),(74 2799546.5),(75 2764973.8),(76 2740907.8),(77 2742492.8),(78 2777515),(79 2848108.3),
